Occupancy,FIRM,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
IND4,0,40,0,0,0,2.33,1.91,2.03,33.73
IND4,0,50,0,0,0,2.41,2.15,2.64,42.8
IND4,0,60,0,0,0,2.5,2.53,3.22,51.75
IND4,0,70,0,0,0.01,2.5,3.2,4.26,60.02
IND4,0,80,0.32,0,1.16,2.5,4.88,6.13,65
IND4,0,90,2,0,7.13,2.5,6,7.37,65
IND4,0,100,3.27,0,11.68,2.5,7.5,10,65
IND4,1,0,0,0,0,0,0,0,0
IND4,1,10,0,0,0,1.55,0.71,0.59,7.14
IND4,1,20,0,0,0,1.89,1.29,0.93,15.89
IND4,1,30,0,0,0,2.16,1.74,1.39,24.71
IND4,1,40,0,0,0,2.46,2.02,1.88,33.64
IND4,1,50,0,0,0,2.5,2.28,2.45,42.77
IND4,1,60,0,0,0,2.5,2.69,2.99,51.81
IND4,1,70,0.01,0,0.01,2.5,3.4,3.97,60.12
IND4,1,80,0.76,0,1.52,2.5,6.65,7.32,61.25
IND4,1,90,3.95,0,7.91,2.5,6.93,7.45,61.25
IND4,1,100,6.65,0,13.3,2.5,7.5,8.75,61.25
IND5,0,0,0,0,0,0,0,0,0
IND5,0,10,0,0,0,2.18,0.35,0.25,7.22
IND5,0,20,0,0,0,2.67,0.62,0.41,16.3
IND5,0,30,0,0,0,3.06,0.84,0.62,25.48
IND5,0,40,0,0,0,3.43,0.99,0.82,34.76
IND5,0,50,0,0,0,3.6,1.15,1.05,44.2
IND5,0,60,0,0,0,3.87,1.38,1.29,53.46
IND5,0,70,0.01,0,0,4.15,1.75,1.73,62.36
IND5,0,80,0.39,0,0.2,4.54,2.47,2.35,70.05
IND5,0,90,2.52,0,1.07,4.64,2.95,2.74,76.08
IND5,0,100,2.81,0,1.19,5,3.28,3.05,84.66
IND5,1,0,0,0,0,0,0,0,0
IND5,1,10,0,0,0,2.26,0.36,0.19,7.18
IND5,1,20,0,0,0,2.78,0.65,0.32,16.26
IND5,1,30,0,0,0,3.19,0.88,0.48,25.45
IND5,1,40,0,0,0,3.58,1.03,0.64,34.75
IND5,1,50,0,0,0,3.76,1.2,0.82,44.22
IND5,1,60,0,0,0,4.04,1.44,1.01,53.51
IND5,1,70,0.01,0,0,4.34,1.83,1.36,62.46
IND5,1,80,0.6,0,0.17,4.74,2.57,1.84,70.09
IND5,1,90,3.79,0,0.88,4.79,3.05,2.13,75.36
IND5,1,100,4.23,0,0.99,5,3.4,2.37,84
IND6,0,0,0,0,0,0,0,0,0
